Trace 1 X	Trace 1 Y	Trace 2 X	Trace 2 Y	
127562	107030	240325	200575	
127541	107011	240303	200557	
127519	106993	240280	200540	
127498	106974	240258	200522	
127477	106955	240236	200505	
127456	106936	240213	200487	
127434	106918	240191	200470	
127413	106899	240169	200452	
127392	106880	240146	200435	
127370	106861	240124	200417	
127349	106842	240102	200400	
127328	106824	240079	200382	
127307	106805	240057	200365	
127285	106786	240035	200347	
127264	106767	240013	200330	
127243	106748	239990	200312	
127221	106730	239968	200295	
127200	106711	239946	200277	
127179	106692	239923	200260	
127157	106673	239901	200242	
127136	106655	239879	200224	
127115	106636	239856	200207	
127094	106617	239834	200189	
127072	106598	239812	200172	
127051	106579	239789	200154	
127030	106561	239767	200137	
127008	106542	239745	200119	
126987	106523	239722	200102	
126966	106504	239700	200084	
126945	106486	239678	200067	
126923	106467	239655	200049	
126902	106448	239633	200032	
126881	106429	239611	200014	
126859	106410	239588	199997	
126838	106392	239566	199979	
126817	106373	239544	199962	
126796	106354	239522	199944	
126774	106335	239499	199927	
126753	106316	239477	199909	
126732	106298	239455	199892	
126710	106279	239432	199874	
126689	106260	239410	199857	
126668	106241	239388	199839	
126647	106223	239365	199822	
126625	106204	239343	199804	
126604	106185	239321	199787	
126583	106166	239298	199769	
126561	106147	239276	199752	
126540	106129	239254	199734	
126519	106110	239231	199717	
126497	106091	239209	199699	
126476	106072	239187	199682	
126455	106054	239165	199664	
126434	106035	239142	199647	
126412	106016	239120	199629	
126391	105997	239098	199611	
126370	105978	239075	199594	
126348	105960	239053	199576	
126327	105941	239031	199559	
126306	105922	239008	199541	
126285	105903	238986	199524	
126263	105884	238964	199506	
126242	105866	238941	199489	
126221	105847	238919	199471	
126199	105828	238897	199454	
126178	105809	238874	199436	
126157	105791	238852	199419	
126136	105772	238830	199401	
126114	105753	238807	199384	
126093	105734	238785	199366	
126072	105715	238763	199349	
126050	105697	238741	199331	
126029	105678	238718	199314	
126008	105659	238696	199296	
125987	105640	238674	199279	
125965	105621	238651	199261	
125944	105603	238629	199244	
125923	105584	238607	199226	
125901	105565	238584	199209	
125880	105546	238562	199191	
125859	105528	238540	199174	
125837	105509	238517	199156	
125816	105490	238495	199139	
